x y z
0.149646 0.011883 0.059009
0.135254 0.053484 0.077005
0.105732 0.009671 0.113048
0.130236 -0.021067 0.106238
0.137034 -0.006490 0.067221
0.060947 0.018475 0.091312
0.144051 0.032368 0.053352
0.138744 0.054440 0.086865
0.106131 0.043144 0.063373
0.150867 0.017939 0.110755
0.049073 0.031846 0.085831
0.085287 0.052187 0.049664
0.145741 0.008279 0.110888
0.077683 -0.009208 0.124809
0.128362 0.028231 0.115526
0.148704 0.037894 0.072292
0.021606 0.002374 0.066141
0.103872 0.043770 0.058117
0.093890 -0.002541 0.136595
0.138767 -0.042381 0.134504
0.084891 0.047697 0.054709
0.100590 0.044614 0.048631
0.151944 0.023970 0.103888
0.060035 -0.027521 0.056974
0.121607 0.010102 0.116041
0.065822 0.057815 0.051834
0.115460 0.007688 0.120028
0.046694 0.054802 0.042402
0.027633 -0.012257 0.059279
0.086199 -0.009685 0.133209
0.025324 -0.008012 0.064192
0.073386 -0.018957 0.069853
0.111441 0.011175 0.117670
0.132510 -0.012730 0.059378
0.073062 0.058843 0.044144
0.136476 -0.039514 0.134591
0.152877 0.032941 0.087807
0.130630 -0.047664 0.117291
0.026678 0.036288 0.061569
0.124367 0.025010 0.115919
0.136635 0.016304 0.027877
0.100059 -0.011611 0.022526
0.097324 -0.001910 0.085892
0.117584 -0.019196 0.041340
0.108851 -0.000063 0.106807
0.069505 0.045010 0.067321
0.134080 -0.051672 0.140418
0.126055 0.045839 0.091010
0.052381 -0.020248 0.061411
0.140271 0.032503 0.112814
0.109798 -0.010595 0.023143
0.039674 0.048562 0.055658
0.118435 0.046622 0.051713
0.074535 -0.011545 0.125504
0.150022 0.013191 0.049676
0.053094 0.057538 0.045728
0.093032 -0.002942 0.130286
0.128135 -0.007001 0.101469
0.136792 -0.013172 0.109581
0.147496 0.003414 0.047178
0.003163 0.004995 0.018095
0.126043 -0.057165 0.124286
0.059410 0.058775 0.042430
0.132309 -0.001054 0.117778
0.090336 -0.026388 0.026200
0.126364 -0.058317 0.132072
0.141895 -0.003784 0.062938
0.148801 0.004151 0.091455
0.144805 0.030389 0.046993
0.077760 0.039998 0.074803
0.131716 -0.044233 0.114205
0.136368 0.000026 0.030974
0.138237 0.027826 0.032751
0.105507 0.025240 0.085429
0.033463 0.002515 0.080489
0.141990 -0.003287 0.081649
0.010791 0.023576 0.031342
0.119378 0.001404 0.019861
0.138425 -0.003537 0.070274
0.016969 0.019506 0.056149
0.135805 -0.021961 0.112300
0.092806 0.012556 0.086611
0.101432 -0.009342 0.119215
0.063890 -0.018166 0.072503
0.105309 0.022249 0.087161
0.015863 0.004292 0.051711
0.023306 0.035246 0.019982
0.130378 0.032916 0.114112
0.122814 -0.053187 0.132138
0.092114 0.002790 0.085286
0.092369 0.039713 0.068960
0.138579 -0.005046 0.036737
0.090258 -0.024245 0.052242
0.086831 0.044027 0.063484
0.024883 -0.009515 0.018864
