# x y z nx ny nz
0.060597 0.050381 0.007094 0.019915 0.694865 -0.718865
0.093140 -0.019333 -0.005974 -0.041482 0.406648 -0.912643
0.092041 0.034840 0.075456 0.098955 0.780238 0.617605
0.091941 0.039889 0.011439 0.217804 0.512183 0.830801
0.139453 -0.031303 0.125242 0.980510 -0.028872 -0.194335
0.074273 -0.014232 0.128344 -0.327303 0.695038 0.640152
0.082978 -0.027076 -0.001024 -0.206310 -0.978487 0.000241
0.147458 0.015607 0.043751 0.998489 0.038009 -0.039675
0.021009 -0.010113 0.048568 -0.781252 -0.603496 0.159495
0.035225 0.046149 0.028814 -0.648948 0.760740 -0.011863
0.120614 0.032879 -0.005528 0.011900 0.027723 -0.999545
0.086411 0.045714 0.058306 0.164938 0.986289 0.005484
0.111991 0.002658 0.098621 -0.692790 -0.720448 0.031588
0.137734 -0.011025 0.050349 0.725488 -0.687799 -0.024493
0.026678 0.036288 0.061569 -0.728066 0.572624 0.376857
0.096008 0.026816 0.083145 -0.248976 0.474113 0.844528
0.133281 -0.035564 0.114874 0.971426 -0.141360 0.190653
0.122694 -0.009887 0.076568 0.370505 -0.755872 0.539799
0.141231 -0.004631 0.041630 0.699681 -0.681955 -0.213033
0.053701 0.036919 -0.003105 0.626317 -0.369686 -0.686338
0.125791 0.036274 -0.005022 0.365487 0.114869 -0.923702
0.125869 -0.055036 0.139523 -0.540709 0.314464 0.780222
0.100124 -0.009272 0.130414 0.615820 -0.710146 0.341259
0.057179 0.008788 -0.005573 0.180866 -0.006690 -0.983485
0.051536 0.014954 -0.006530 -0.515816 -0.024467 -0.856350
0.060635 0.048353 0.000170 -0.211681 0.976738 0.034250
0.084106 0.048833 0.009543 0.170391 0.464799 0.868866
0.100836 0.004306 0.123443 -0.721949 0.676166 -0.146937
0.122254 -0.000472 0.109558 -0.582622 -0.562528 0.586612
0.027447 0.039530 0.017816 -0.702258 0.570297 -0.426140
0.030214 0.006709 -0.004046 -0.215039 -0.203369 -0.955196
0.109499 0.003662 0.125804 0.511534 0.403138 0.758824
0.055459 0.045142 -0.004893 -0.100138 0.484299 -0.869153
0.038407 0.023556 0.085047 -0.568920 0.178638 0.802757
0.127166 0.052262 0.083301 -0.650254 0.756653 0.068159
0.030840 0.040923 0.015819 -0.499416 0.763244 -0.409929
0.027419 0.041564 0.031808 -0.607304 0.792922 -0.049568
0.107726 0.034516 0.075863 0.089874 0.672674 0.734460
0.098629 0.004755 0.118844 -0.000878 0.572970 0.819576
0.074102 -0.036166 0.028365 -0.194271 -0.961225 -0.195716
0.061550 -0.016910 -0.005595 0.014350 0.158829 -0.987202
0.010791 0.023576 0.031342 0.163808 0.500697 0.849982
0.114266 0.027372 0.008400 0.928648 0.008896 0.370855
0.132411 0.048935 0.072344 -0.066470 0.459682 -0.885593
0.128911 -0.056392 0.141072 0.231881 -0.367431 0.900681
0.115264 0.011402 0.012918 0.869011 0.491272 -0.058927
0.153741 0.019593 0.076681 0.905647 0.015363 -0.423754
0.104116 0.007102 0.119923 -0.685118 0.713405 -0.147196
0.061363 0.054781 0.011877 -0.064252 0.891922 -0.447602
0.055135 0.052331 0.009405 -0.210827 0.805726 -0.553495
0.054842 -0.006186 -0.002021 0.444052 -0.225368 -0.867195
0.026726 0.023978 0.074413 -0.839061 0.199210 0.506253
0.043103 0.044731 0.004943 -0.274450 0.939796 0.203620
0.085399 0.051427 0.036611 0.754767 0.457151 -0.470467
0.072665 -0.015616 0.074872 0.103267 -0.823020 0.558547
0.113028 -0.000543 0.122531 0.729604 -0.580976 0.360755
0.113372 0.020072 -0.006234 0.129788 0.151948 -0.979830
0.076648 0.032516 -0.001087 -0.032972 0.077571 -0.996441
0.153647 0.028611 0.080978 0.925897 0.245640 -0.287012
0.128362 0.028231 0.115526 0.037846 0.197516 0.979569
0.084719 -0.022351 0.061527 0.080335 -0.992804 0.088806
0.017568 0.029250 0.005244 -0.451496 0.520276 -0.724889
0.080690 0.054854 0.032764 0.514188 0.824810 -0.235157
0.042121 0.043023 -0.002296 -0.595113 0.575537 -0.560890
0.130630 -0.047664 0.117291 0.951637 -0.306944 0.013158
0.133155 -0.013348 0.124062 0.318618 0.456690 0.830612
0.090336 -0.026388 0.026200 0.769888 -0.587904 -0.248275
0.122626 0.031795 0.114284 -0.261111 0.294017 0.919443
0.121789 0.026464 0.115368 -0.136742 0.188939 0.972422
0.132071 0.002136 -0.001948 0.804490 -0.536267 0.255370
0.135901 -0.051058 0.139754 0.602690 -0.417161 0.680251
0.144051 0.032368 0.053352 0.781324 0.617424 -0.091222
0.100115 0.009952 -0.005932 0.107218 0.423956 -0.899314
0.131841 -0.011346 0.035798 0.563056 -0.635908 -0.527815
0.152881 0.042562 0.084886 0.875306 0.429058 0.223044
0.128358 0.022694 0.022615 0.485827 0.438412 -0.756152
0.029053 -0.018142 0.045303 -0.431563 -0.901897 -0.018318
0.015147 0.032836 0.019108 0.122770 0.912487 0.390250
0.127370 0.041127 0.108313 -0.361518 0.764808 0.533267
0.097242 0.000929 0.126133 -0.782327 0.594951 -0.184386
0.073863 -0.022452 0.142255 -0.808744 0.522627 0.269806
0.085863 0.035722 0.075958 0.155475 0.735625 0.659305
0.107233 0.027514 0.086177 -0.695248 0.302467 0.652031
0.033478 -0.021067 0.043331 -0.601913 -0.796148 0.062042
