# x y z nx ny nz
0.149386 0.016481 0.054900 0.930054 0.145523 -0.337376
0.084738 0.042642 0.003856 -0.025794 -0.640844 -0.767238
0.041778 0.046355 0.018264 -0.437668 0.630863 -0.640670
0.136108 -0.020977 0.118301 0.995240 -0.097110 -0.008195
0.133480 -0.001323 0.124930 0.274222 0.353288 0.894422
0.051640 0.056750 0.046405 -0.222635 0.971667 0.079349
0.145847 0.050861 0.090593 0.203315 0.916174 -0.345382
0.082134 0.018234 0.005268 -0.043180 -0.014434 -0.998963
0.046855 -0.027726 0.056968 -0.436867 -0.868377 0.234668
0.101755 -0.009986 0.088942 -0.043623 -0.843735 0.534984
0.115527 0.048162 0.005088 -0.106525 0.992903 -0.052870
0.124523 -0.046127 0.138029 -0.886747 0.216018 0.408676
0.076040 0.056062 0.036435 0.066960 0.971568 -0.227094
0.025642 0.040030 0.038623 -0.745361 0.657221 -0.111790
0.126355 0.032015 0.002118 0.402524 -0.008217 -0.915373
0.079353 0.054025 0.003570 -0.251982 0.902310 -0.349774
0.003305 0.025523 0.032017 -0.806099 0.559657 0.192325
0.115514 0.030460 0.029069 0.336981 0.469041 -0.816360
0.109890 -0.012138 0.001058 0.038643 -0.164074 -0.985691
0.070595 -0.034828 0.033875 -0.180153 -0.979781 -0.087026
0.071438 0.054913 0.063081 0.162797 0.650988 0.741426
0.093564 -0.004577 0.144907 0.524187 0.082767 0.847572
0.139053 -0.024451 0.129226 0.998051 0.022248 -0.058305
0.070982 0.029809 0.093792 0.228927 0.524231 0.820228
0.066482 -0.022697 0.001956 0.335562 -0.600567 -0.725753
0.029183 0.040185 0.066578 -0.681453 0.492599 0.541264
0.073389 -0.024321 0.065696 0.178216 -0.377135 0.908850
0.008258 0.028077 0.019729 -0.641739 0.574176 -0.508422
0.099298 -0.007703 0.140592 0.629838 -0.519716 0.577234
0.057544 0.007227 0.001589 0.352272 -0.090409 -0.931520
0.130712 0.010894 0.001719 0.501094 0.205206 -0.840711
0.025324 -0.008012 0.071192 -0.750203 -0.550103 0.366854
0.095547 0.016079 0.001070 0.323340 0.011586 -0.946212
0.136527 -0.016586 0.117138 0.913800 -0.087535 -0.396619
0.149127 0.017904 0.119006 0.526905 -0.005905 0.849903
0.125753 0.031452 0.007712 0.887311 -0.160751 0.432248
0.001985 0.005945 0.029111 -0.862056 -0.506272 -0.023433
0.127963 -0.000599 0.122352 -0.594494 0.355036 0.721475
0.056529 -0.020149 0.070588 -0.309632 -0.886574 0.343677
0.137305 0.037140 0.069665 0.634613 0.746895 0.198533
0.049952 0.003336 0.001428 0.005994 0.319640 -0.947520
0.022171 -0.012220 0.051040 -0.854397 -0.478293 -0.203081
0.095570 0.018927 0.001167 0.039516 -0.015909 -0.999092
0.013554 0.008796 0.009924 -0.590456 -0.069778 -0.804048
0.082278 -0.026656 0.010327 -0.108531 -0.951953 0.286366
0.051666 0.053850 0.022185 -0.281767 0.928156 -0.243176
0.139734 0.044658 0.111707 0.400583 0.654175 0.641552
0.083786 0.054389 0.002815 0.040560 0.584323 -0.810507
0.139519 -0.039367 0.138486 0.971071 0.142320 0.191745
0.062856 0.023942 0.097352 0.053708 0.260860 0.963882
0.104797 -0.021001 0.000888 0.440769 -0.233566 -0.866700
0.101265 0.006142 0.124854 0.002596 0.581982 0.813197
0.084032 0.051408 0.015125 0.179559 0.625625 0.759178
0.049905 0.055392 0.032219 -0.519072 0.834585 -0.184476
0.075797 -0.025075 0.144741 0.600912 -0.766459 -0.226815
0.091884 0.052840 0.007450 0.587587 0.776544 0.227423
0.129445 -0.051119 0.124905 0.825547 -0.520766 -0.217426
0.085287 0.052187 0.056664 0.757324 0.548975 0.353676
0.108851 -0.000063 0.113807 -0.084552 -0.693286 -0.715686
0.070954 -0.018181 0.078782 0.283238 -0.658687 0.697071
0.027043 0.040814 0.032253 -0.659227 0.750082 -0.052886
0.138767 -0.042381 0.141504 0.719589 0.284934 0.633249
0.100804 -0.006070 0.002754 -0.827442 -0.016338 -0.561313
0.078204 -0.022368 0.151745 0.703969 -0.649049 0.288379
0.143665 0.050197 0.084692 0.135297 0.972830 -0.187871
0.115704 0.027658 0.001263 0.024890 0.079191 -0.996549
0.049083 0.044837 0.002689 -0.225733 0.566325 -0.792667
0.100805 0.003764 0.135991 0.114199 0.756214 0.644282
0.106933 0.023152 0.097612 -0.861533 0.312375 0.400228
0.050455 0.037173 0.002057 0.007109 0.008585 -0.999938
0.136221 0.054423 0.089079 0.353458 0.927464 -0.121979
0.083272 0.047331 0.063884 0.063469 0.810472 0.582329
0.136303 -0.017256 0.131395 0.521763 0.380999 0.763284
0.030182 0.038027 0.018165 -0.698856 0.598396 -0.391818
0.060597 0.050381 0.014094 0.019915 0.694865 -0.718865
0.048108 -0.006738 0.001546 -0.059324 0.000678 -0.998239
0.089594 0.044031 0.043469 0.800264 0.476771 -0.363684
0.017223 0.003109 0.063517 -0.946093 -0.169592 0.275946
